Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
M001196,Seth Moulton,M,Democrat,1978,2,MA-06,-0.212175697,-0.863709867
M001197,Martha McSally,F,Republican,1966,2,AZ-02,0.268973202,0.790257692
M001198,Roger Marshall,M,Republican,1960,1,KS-01,0.323895216,0.979054153
M001199,Brian Mast,M,Republican,1980,1,FL-18,0.222595155,0.630831361
M001200,Donald McEachin,M,Democrat,1961,1,VA-04,-0.345814735,-1.323099136
M001201,Paul Mitchell (politician),M,Republican,1961,1,MI-10,0.376885653,1.161210775
M001202,Stephanie Murphy,F,Democrat,1978,1,FL-07,-0.045272905,-0.289975166
N000002,Jerrold Nadler,M,Democrat,1947,14,NY-10,-0.278238833,-1.090804338
N000015,Richard Neal,M,Democrat,1949,15,MA-01,-0.332780898,-1.278294802
N000127,Rick Nolan,M,Democrat,1943,6,MN-08,-0.136149108,-0.602365553
N000147,Eleanor Holmes Norton,F,Democrat,1937,14,DC-AL,-0.14779301,-0.64239186
N000179,Grace Napolitano,F,Democrat,1936,10,CA-32,-0.326300889,-1.256019473
N000181,Devin Nunes,M,Republican,1973,8,CA-22,0.340931147,1.037615776
N000184,Kristi Noem,F,Republican,1971,4,SD-AL,0.221889108,0.628404319
N000188,Donald Norcross,M,Democrat,1958,3,NJ-01,-0.337898344,-1.295886159
N000189,Dan Newhouse,M,Republican,1955,2,WA-04,0.235379979,0.674779773
N000190,Ralph Norman,M,Republican,1953,1,SC-05,0.401063591,1.244323373
O000168,Pete Olson,M,Republican,1962,5,TX-22,0.247873932,0.717728138
O000170,Beto O'Rourke,M,Democrat,1972,3,TX-16,0.006433183,-0.112233542
O000171,Tom O'Halleran,M,Democrat,1946,1,AZ-01,0.0108784,-0.096952938
P000034,Frank Pallone,M,Democrat,1951,16,NJ-06,-0.366064012,-1.392706752
P000096,Bill Pascrell,M,Democrat,1937,11,NJ-09,-0.220416516,-0.892037988
P000197,Nancy Pelosi,F,Democrat,1940,16,CA-12,-0.291170806,-1.135258555
P000258,Collin Peterson,M,Democrat,1944,14,MN-07,0.194548309,0.534419298
P000523,David Price,M,Democrat,1940,15,NC-04,-0.285663307,-1.116326332
P000588,Steve Pearce,M,Republican,1947,7,NM-02,0.242945626,0.700786948
P000592,Ted Poe,M,Republican,1948,7,TX-02,0.136193156,0.333821267
P000593,Ed Perlmutter,M,Democrat,1953,6,CO-07,-0.211263552,-0.860574245
P000594,Erik Paulsen,M,Republican,1965,5,MN-03,0.271204561,0.797928035
P000597,Chellie Pingree,F,Democrat,1955,5,ME-01,-0.2343591,-0.939966083
P000598,Jared Polis,M,Democrat,1975,5,CO-02,-0.275329977,-1.080805063
P000599,Bill Posey,M,Republican,1947,5,FL-08,0.213381931,0.599160612
P000601,Steven Palazzo,M,Republican,1970,4,MS-04,0.423410594,1.321142077
P000604,Donald Payne Jr.,M,Democrat,1958,4,NJ-10,-0.365120679,-1.389464021
P000605,Scott Perry,M,Republican,1962,3,PA-04,0.166387245,0.43761462
P000606,Robert Pittenger,M,Republican,1948,3,NC-09,0.429531634,1.342183352
P000607,Mark Pocan,M,Democrat,1964,3,WI-02,-0.447763562,-1.673552036
P000608,Scott Peters,M,Democrat,1958,3,CA-52,-0.150355756,-0.651201487
P000609,Gary Palmer,M,Republican,1954,2,AL-06,0.4943178,1.564888239
P000610,Stacey Plaskett,F,Democrat,1966,2,VI-AL,-0.43549934,-1.631393313
P000611,Bruce Poliquin,M,Republican,1953,2,ME-02,0.279208779,0.825442851
P000613,Jimmy Panetta,M,Democrat,1969,1,CA-20,-0.00772852,-0.160914928
Q000023,Michael Quigley,M,Democrat,1958,5,IL-05,-0.354400873,-1.352614284
R000395,Harold Rogers,M,Republican,1937,19,KY-05,0.11932607,0.275840044
R000409,Dana Rohrabacher,M,Republican,1947,15,CA-48,0.094110809,0.189161614
R000435,Ileana Ros-Lehtinen,F,Republican,1952,15,FL-27,0.110683911,0.246132284
R000486,Lucille Roybal-Allard,F,Democrat,1941,13,CA-40,-0.346688092,-1.326101303
