name,nonwhite,district_percent_white,maj_min,standardized_vote_ideal_point,k_std_speech_ip,k_std_tweet_ip,feb_rank_vote,feb_rank_speech,feb_rank_tweet,bioguide_id,party,vote_ip_rank,kspeech_ip_rank,ktweet_ip_rank,k_vote_speech_gap,k_vote_tweet_gap,k_vote_speech_catgap,k_vote_tweet_catgap,gop,female,number_of_house_terms,rlvthouse,trump16,suburban,urban,district_unemployment_rate,allfreedom_v2,allprog_v2,allbluedog_v2,allnewdems_v2,allgoplead_v2,alldemlead_v2,allcmtechair_v2,alltopcmte_v2,tbip_floor_speeches,speech_ip_rank,allgoplead,alldemlead,allcmtechair,alltopcmte,var41,var42,allprobsolve_v2,allrsc_v2,allprog,allnewdems,allbluedog,allprobsolve,allrsc,allfreedom,present_cong115,present_cong116,born,district,dem,gender,black,hispanic,asianamer,house2016,house2016new,house2018,house2018new,clinton16,district_density,distict_density_sub,district_percent_female,district_percent_male,district_percent_senior,district_median_age,district_percent_black,district_percent_asian,district_percent_hispanic,district_percent_americanindian,district_mean_income,district_mean_minus_national_mea,district_median_income,district_median_minus_national_m,dwnominate_1,dwnominate_2,tbip_tweets,k_speech_tweet_gap,progressive_caucus_cong115,newdems_caucus_cong115,bluedog_caucus_cong115,problemsolvers_caucus_cong115,rsc_caucus_cong115,freedom_caucus_cong115,gop_leadership_cong115,dem_leadership_cong115,committeechair_cong115,topcommittee_cong115,progressive_caucus_cong116,newdems_caucus_cong116,bluedog_caucus_cong116,problemsolvers_caucus_cong116,rsc_caucus_cong116,freedom_caucus_cong116,gop_leadership_cong116,dem_leadership_cong116,committeechair_cong116,topcommittee_cong116,new116,rural,xgopfemale,xgopnonwhite,xgoprlvthouse,xgopterms,xgoptrump,xgopsuburban,xgopurban,xgoppercentwhite,xgopunemployment,xgopprobsolv,xgopcmtechair,xgoptopcmte,xgoprsc,xgopfreedom,xgopprog,xgopbluedog,xgopnewdems,xgopgoplead,xgopdemlead,k_vote_tweet_abscatgap,k_vote_speech_catgap_invert,k_vote_tweet_catgap_invert,k_vote_speech_gap_invert,k_vote_tweet_gap_invert,feb_gap_VS,feb_gap_VT,feb_gapcat_VS,feb_gapcat_VS_invert,feb_gapcat_VT_invert,minfemale,maj_black,maj_hispanic,maj_asian,demographic_sum,x_majmin_nonwhite,x_majblack_black,x_majhisp_hisp,x_female_majmin,x_female_majblack,x_female_majhisp
Michael C. Burgess,0,76,0,1.02722,0.021759,1.00069,386,231,352,B001248,Republican,433,239,367,194,66,4,1,1,0,9,59.3754,60.9,1,0,2.2,0,0,0,0,0,0,0,1,0.06221,238,0,0,0,1,B001248,Michael C. Burgess,0,1,0,1,0,0,0,0,1,1,1950,TX-26,0,M,0,0,0,62.9022,0,59.3754,59.3754,34.4,Sparse suburban,Suburban,50.69,49.31,0.55,36.3,9.1,7.8,19.8,0.6,122488,30164,96307,30595,0.577,-0.22,0.442259,-128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,59.3754,9,60.9,1,0,76,2.2,0,0,1,1,0,0,0,0,0,0,1,-4,-1,-194,-66,155,34,155,-3,0,0,0,0,0,113.3,0,0,0,0,0,0
Dennis A. Ross,0,74,0,0.81942,0.752331,1.00111,276,327,353,R000593,Republican,306,341,368,-35,-62,0,-1,1,0,4,55.3602,53.1,1,0,4.7,0,0,0,0,0,0,0,0,0.268431,270,0,0,0,0,R000593,Dennis A. Ross,0,1,1,0,0,0,0,0,1,0,1959,FL-15,0,M,0,0,0,55.3602,55.3602,,0,43.1,Sparse suburban,Suburban,50.9,49.1,20.13,38.3,15.8,3.1,22.9,0.4,72643,-15221,56096,-5841,0.531,0.099,0.442407,-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3602,4,53.1,1,0,74,4.7,0,0,0,1,0,0,0,0,0,0,1,0,1,35,62,-51,-77,-51,1,1,0,0,0,0,116.2,0,0,0,0,0,0
Paul Mitchell (politician),0,91.9,0,0.924668,1.31391,1.00168,316,421,354,M001201,Republican,358,449,369,-91,-11,-2,0,1,0,2,60.3199,63.8,0,0,3,0,0,0,0,0,0,0,0,0.42695,337,0,0,0,1,M001201,Paul Mitchell (politician),0,1,0,0,0,0,0,0,1,1,1961,MI-10,0,M,0,0,0,61.7874,0,60.3199,60.3199,31.6,Rural-suburban mix,Rural,50.69,49.31,0.61,43.7,3.2,1.7,3.4,0.2,84871,-7453,67472,1760,0.432,0.302,0.442602,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60.3199,2,63.8,0,0,91.9,3,0,0,0,1,0,0,0,0,0,0,0,2,0,91,11,-105,-38,-105,2,0,0,0,0,0,100.4,0,0,0,0,0,0
Robert E. Latta,0,91.2,0,1.02793,1.204,1.0031,388,401,355,L000566,Republican,435,425,370,10,65,0,1,1,0,7,62.2561,59.7,0,0,2.5,0,0,0,0,0,0,0,1,0.395925,383,0,0,0,0,L000566,Robert E. Latta,0,1,0,0,0,0,1,0,1,1,1956,OH-05,0,M,0,0,0,67.0001,0,62.2561,62.2561,34.6,Rural-suburban mix,Rural,50.93,49.07,0.52,39.8,3,1.4,6,0.3,82189,-10135,63702,-2010,0.519,0.262,0.443094,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,62.2561,7,59.7,0,0,91.2,2.5,0,0,1,1,0,0,0,0,0,0,1,0,-1,-10,-65,-13,33,-13,0,0,0,0,0,0,101.9,0,0,0,0,0,0
Stephen Knight,0,63.3,0,0.808234,1.05493,1.0042,270,379,356,K000387,Republican,298,400,371,-102,-73,-2,-1,1,0,2,49.5015,43.6,1,0,5.6,0,0,0,0,0,0,0,0,0.353846,277,0,0,0,0,K000387,Stephen Knight,0,0,0,1,1,1,0,0,1,0,1966,CA-25,0,M,0,0,0,49.5015,49.5015,,0,50.3,Dense suburban,Suburban,50.76,49.24,16.4,37.1,7.3,8.6,40.5,0.7,104954,17090,82243,20306,0.397,0.188,0.443478,29,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,49.5015,2,43.6,1,0,63.3,5.6,0,0,0,0,0,0,0,0,0,0,1,2,1,102,73,-109,-86,-109,2,1,0,0,0,0,120.4,0,0,0,0,0,0
French Hill,0,70.8,0,0.997496,0.983531,1.00681,353,367,357,H001072,Republican,397,386,372,11,25,0,0,1,0,3,52.13,52.4,0,0,2.2,0,0,0,0,0,0,0,0,0.333693,338,0,0,0,0,H001072,French Hill,0,1,0,0,0,0,1,0,1,1,1956,AR-02,0,M,0,0,0,55.5113,0,52.13,52.13,41.7,Rural-suburban mix,Rural,51.11,48.89,0.48,38,23.3,1.6,5.4,0.4,74591,-17733,53600,-12112,0.452,0.225,0.44438,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,52.13,3,52.4,0,0,70.8,2.2,0,0,0,1,0,0,0,0,0,0,0,0,0,-11,-25,-14,-4,-14,0,0,0,0,0,0,101.5,0,0,0,0,0,0
Darrell Issa,0,78.2,0,0.812797,0.076428,1.01615,272,235,358,I000056,Republican,301,243,373,58,-72,1,-1,1,0,9,47.0046,43.2,1,0,4.1,0,0,0,0,0,0,0,0,0.077642,232,0,0,0,0,I000056,Darrell Issa,0,1,1,0,0,0,0,0,1,0,1953,CA-49,0,M,0,0,0,47.0046,47.0046,,0,50.7,Dense suburban,Suburban,50.07,49.93,20.15,39.5,3,8,25.1,0.4,132846,44982,94960,33023,0.506,-0.085,0.447614,-130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0046,9,43.2,1,0,78.2,4.1,0,0,0,1,0,0,0,0,0,0,1,-1,1,-58,72,37,-86,37,0,1,0,0,0,0,114.7,0,0,0,0,0,0
Robert Pittenger,0,64.4,0,0.879417,1.61734,1.02518,303,444,359,P000606,Republican,340,476,374,-136,-34,-3,0,1,0,3,54.0788,53.7,1,0,4.7,0,0,0,0,0,0,0,0,0.5126,325,0,0,0,0,P000606,Robert Pittenger,0,1,0,0,0,0,0,0,1,0,1948,NC-09,0,M,0,0,0,54.0788,54.0788,,0,43.3,Sparse suburban,Suburban,51.45,48.55,19.16,39.2,19.4,3.7,8,7.8,96230,8366,61156,-781,0.561,0.333,0.450742,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0788,3,53.7,1,0,64.4,4.7,0,0,0,1,0,0,0,0,0,0,0,3,0,136,34,-141,-56,-141,3,1,0,0,0,0,103.3,0,0,0,0,0,0
Ralph Norman,0,68.1,0,1.07546,1.36088,1.02857,422,423,360,N000190,Republican,472,452,375,20,97,0,2,1,0,2,57.0269,57.3,0,0,2.9,1,0,0,0,0,0,0,0,0.440209,432,0,1,1,1,N000190,Ralph Norman,0,1,1,0,0,0,0,0,1,1,1953,SC-05,0,M,0,0,0,58.1738,0,57.0269,57.0269,38.8,Pure rural,Rural,51.63,48.37,0.58,40.1,26.2,1.7,4.4,0.5,77076,-15248,56282,-9430,0.781,-0.165,0.451915,77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,57.0269,2,57.3,0,0,68.1,2.9,0,0,0,1,1,0,0,0,0,0,2,0,-2,-20,-97,-1,62,-1,0,-1,0,0,0,0,100.9,0,0,0,0,0,0
Devin Nunes,1,66,0,0.975009,0.325603,1.03856,342,258,361,N000181,Republican,385,267,376,118,9,2,0,1,0,9,52.7221,52.1,1,0,4.2,0,0,0,0,1,0,1,1,0.147977,258,1,0,1,0,N000181,Devin Nunes,0,0,0,0,0,0,1,0,1,1,1973,CA-22,0,M,0,1,0,60.3479,0,52.7222,52.7221,42.6,Dense suburban,Suburban,50.69,49.31,0.93,33,3.2,8.4,50.6,1,85993,-6331,66532,820,0.448,0.212,0.455376,-109,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,52.7221,9,52.1,1,0,66,4.2,0,1,1,0,0,0,0,0,1,0,0,-2,0,-118,-9,84,-19,84,-1,0,0,0,1,0,129.2,0,0,1,0,0,0
Patrick J. Tiberi,0,86.6,0,0.829193,0.920007,1.03999,283,356,362,T000462,Republican,314,374,377,-60,-63,-1,-1,1,0,9,59.3652,53.2,1,0,3.8,0,0,0,0,0,0,0,0,0.315762,285,0,0,0,0,T000462,Patrick J. Tiberi,0,0,0,0,0,0,1,1,1,0,1962,OH-12,0,M,0,0,0,59.3652,59.3652,,0,41.9,Sparse suburban,Suburban,50.2,49.8,19.22,38.7,4.7,4.7,2.6,0.2,101489,13625,76690,14753,0.386,-0.026,0.455871,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,59.3652,9,53.2,1,0,86.6,3.8,0,0,0,0,0,0,0,0,0,0,1,1,1,60,63,-73,-79,-73,1,1,0,0,0,0,98.8,0,0,0,0,0,0
David McKinley,0,93.6,0,0.84869,0.851378,1.04957,289,343,363,M001180,Republican,321,358,378,-37,-57,0,-1,1,0,5,64.5752,68,0,0,3.1,0,0,0,0,0,0,0,1,0.296389,286,0,0,0,1,M001180,David McKinley,1,1,0,0,0,0,0,0,1,1,1947,WV-01,0,M,0,0,0,66.9703,0,64.5752,64.5752,26.4,Pure rural,Rural,50.48,49.52,0.57,42.3,2.5,0.9,1.2,0.3,69024,-23300,51480,-14232,0.3,0.186,0.45919,-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,64.5752,5,68,0,0,93.6,3.1,1,0,1,1,0,0,0,0,0,0,1,0,1,37,57,-54,-74,-54,1,1,0,0,0,0,98.5,0,0,0,0,0,0
Claudia Tenney,0,88.9,0,0.794798,1.12558,1.05188,266,390,364,T000478,Republican,293,411,379,-118,-86,-2,-1,1,1,1,40.8209,54.8,0,0,4.5,0,0,0,0,0,0,0,0,0.37379,274,0,0,0,0,T000478,Claudia Tenney,0,1,0,0,0,0,1,0,1,0,1961,NY-22,0,F,0,0,0,40.8209,40.8209,,0,39.3,Rural-suburban mix,Rural,50.62,49.38,22.86,41,4.3,3.2,3.9,0.2,70162,-17702,54210,-7727,0.275,0.508,0.45999,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,40.8209,1,54.8,0,0,88.9,4.5,0,0,0,1,0,0,0,0,0,0,1,2,1,118,86,-124,-98,-124,2,2,0,0,0,0,100.5,0,0,0,0,0,0
Randy Hultgren,0,87,0,0.813773,1.2158,1.05379,273,406,365,H001059,Republican,302,430,380,-128,-78,-2,-1,1,0,4,53.7815,48.7,1,0,3.6,0,0,0,0,0,0,0,0,0.399257,284,0,0,0,0,H001059,Randy Hultgren,0,1,0,0,0,0,1,0,1,0,1966,IL-14,0,M,0,0,0,53.7815,53.7815,,0,44.8,Sparse suburban,Suburban,49.74,50.26,17.34,39.4,3.8,3.9,13.1,0.1,116949,29085,94403,32466,0.49,-0.034,0.46065,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.7815,4,48.7,1,0,87,3.6,0,0,0,1,0,0,0,0,0,0,1,2,1,128,78,-133,-92,-133,3,2,0,0,0,0,107.9,0,0,0,0,0,0
Austin Scott,0,61.4,0,1.01284,0.558859,1.05483,372,286,366,S001189,Republican,418,296,381,122,37,2,0,1,0,5,100,63.3,0,0,3.1,0,0,0,0,0,0,0,0,0.213819,284,1,0,0,0,S001189,Austin Scott,0,1,0,0,0,0,0,0,1,1,1969,GA-08,0,M,0,0,0,81.7233,0,100,100,34.4,Pure rural,Rural,50.38,49.62,0.78,37.6,31.4,1.7,6.9,0.7,69338,-22986,50745,-14967,0.572,0.166,0.46101,-85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,5,63.3,0,0,61.4,3.1,0,0,0,1,0,0,0,0,0,0,0,-2,0,-122,-37,86,6,86,-1,0,0,0,0,0,102.1,0,0,0,0,0,0
Joe Wilson,0,69.4,0,1.0196,2.7468,1.05805,378,452,367,W000795,Republican,424,484,382,-60,42,-1,0,1,0,10,56.2505,56.3,0,0,2.9,0,0,0,0,0,0,0,0,0.831415,406,0,0,0,0,W000795,Joe Wilson,0,1,0,0,0,0,1,1,1,1,1947,SC-02,0,M,0,0,0,58.418,0,56.2505,56.2505,38.6,Rural-suburban mix,Rural,51.28,48.72,0.71,39,24.6,1.9,5.9,0.4,82774,-9550,60781,-4931,0.538,0.105,0.462126,102,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,56.2505,10,56.3,0,0,69.4,2.9,0,0,0,1,0,0,0,0,0,0,0,1,0,60,-42,-74,11,-74,1,0,0,0,0,0,102.2,0,0,0,0,0,0
Bill Posey,0,82.8,0,0.963235,0.736741,1.06437,336,324,368,P000599,Republican,379,338,383,41,-4,0,0,1,0,6,60.4981,58.4,1,0,3,1,0,0,0,0,0,0,0,0.264031,301,0,0,0,0,P000599,Bill Posey,0,1,0,1,0,0,0,0,1,1,1947,FL-08,0,M,0,0,0,61.8563,0,60.4981,60.4981,37.7,Sparse suburban,Suburban,50.78,49.22,0.54,48.3,9,2.2,11.8,0.2,80852,-11472,58740,-6972,0.521,-0.319,0.464314,-45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60.4981,6,58.4,1,0,82.8,3,0,0,0,1,1,0,0,0,0,0,0,0,0,-41,4,12,-32,12,0,0,0,0,0,0,106,0,0,0,0,0,0
Martha Roby,0,62.8,0,0.892157,1.12811,1.06918,305,391,369,R000591,Republican,343,412,384,-69,-41,-1,0,1,1,5,61.3884,64.9,0,0,2.5,0,0,0,0,0,0,0,1,0.374504,314,0,0,0,0,R000591,Martha Roby,0,0,0,0,0,0,1,1,1,1,1976,AL-02,0,F,0,0,0,54.4466,0,61.3884,61.3884,33,Pure rural,Rural,50.7,49.3,0.72,39,32.2,1.3,3.9,0.3,66203,-26121,50494,-15218,0.362,0.655,0.46598,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,61.3884,5,64.9,0,0,62.8,2.5,0,0,1,0,0,0,0,0,0,0,0,1,0,69,41,-86,-64,-86,1,1,0,0,0,0,100.5,0,0,0,0,0,0
John Joyce (Pennsylvania),0,93.4,0,1.25916,1.43466,1.07055,443,433,370,J000302,Republican,495,463,385,32,110,0,2,1,0,1,70.4923,71.2,0,0,1.9,0,0,0,0,0,0,0,0,0.461034,455,0,0,0,0,J000302,John Joyce (Pennsylvania),0,0,0,0,0,0,0,0,0,1,1957,PA-13,0,M,0,0,0,,0,70.4923,70.4923,25.5,Pure rural,Rural,50.52,49.48,0.52,44.2,3.2,0.5,3.5,0.4,72243,-20081,56618,-9094,0.527,0.173,0.466457,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,70.4923,1,71.2,0,0,93.4,1.9,0,0,0,0,0,0,0,0,0,0,2,0,-2,-32,-110,10,73,10,0,-1,0,0,0,0,101,0,0,0,0,0,0
Jack Bergman,0,92.2,0,0.911652,1.21756,1.07219,311,408,371,B001301,Republican,353,432,386,-79,-33,-1,0,1,0,2,56.3166,57.9,0,0,2.9,0,0,0,0,0,0,0,0,0.399753,326,0,0,0,0,B001301,Jack Bergman,0,1,0,0,0,0,1,0,1,1,1947,MI-01,0,M,0,0,0,55.5782,0,56.3166,56.3166,36.6,Pure rural,Rural,49.55,50.45,0.33,47.1,1.4,0.7,1.9,2.7,68906,-23418,51553,-14159,0.434,0.053,0.467023,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56.3166,2,57.9,0,0,92.2,2.9,0,0,0,1,0,0,0,0,0,0,0,1,0,79,33,-97,-60,-97,2,1,0,0,0,0,98.89999,0,0,0,0,0,0
Steven Palazzo,0,71.5,0,1.04543,1.2308,1.07226,406,414,372,P000601,Republican,455,438,387,17,68,0,1,1,0,5,68.2214,69.4,0,0,4.5,0,0,0,0,0,0,0,1,0.403491,406,0,0,0,1,P000601,Steven Palazzo,0,0,0,0,0,0,1,1,1,1,1970,MS-04,0,M,0,0,0,66.4575,0,68.2214,68.2214,28.2,Rural-suburban mix,Rural,50.84,49.16,0.7,39,23.5,1.3,4.4,0.4,66313,-26011,47340,-18372,0.521,0.548,0.467048,51,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,68.2214,5,69.4,0,0,71.5,4.5,0,0,1,0,0,0,0,0,0,0,1,0,-1,-17,-68,-8,34,-8,0,0,0,0,0,0,101.1,0,0,0,0,0,0
Mike Coffman,0,73.6,0,0.754952,0.502137,1.07241,257,278,373,C001077,Republican,278,288,388,-10,-110,0,-2,1,0,5,47.0541,41.3,1,0,3.6,0,0,0,0,0,0,0,0,0.197808,244,0,1,1,0,C001077,Mike Coffman,1,0,1,0,0,0,0,0,1,0,1955,CO-06,0,M,0,0,0,47.0541,47.0541,,0,50.2,Dense suburban,Suburban,50.28,49.72,15.41,37,9.7,6.2,21.2,0.9,107250,19386,82450,20513,0.492,-0.213,0.467101,-100,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,47.0541,5,41.3,1,0,73.6,3.6,1,0,0,0,0,0,0,0,0,0,2,0,2,10,110,-21,-116,-21,0,2,0,0,0,0,111.6,0,0,0,0,0,0
Joe Barton,0,64.2,0,0.861772,0.246398,1.07445,296,250,374,B000213,Republican,329,259,389,70,-60,1,-1,1,0,17,55.8065,54.2,1,0,3.9,0,0,0,0,0,0,0,1,0.12562,244,0,0,0,0,B000213,Joe Barton,0,0,0,1,0,0,0,0,1,0,1949,TX-06,0,M,0,0,0,55.8065,55.8065,,0,41.9,Dense suburban,Suburban,51.24,48.76,14.62,35.4,21.5,5,22.9,0.6,90942,3078,71756,9819,0.528,0.047,0.467808,-130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.8065,17,54.2,1,0,64.2,3.9,0,0,1,0,0,0,0,0,0,0,1,-1,1,-70,60,46,-78,46,-1,1,0,0,0,0,114.2,0,0,0,0,0,0
Peter Roskam,0,82.3,0,0.735026,0.726404,1.07485,254,323,375,R000580,Republican,275,337,390,-62,-115,-1,-2,1,0,6,53.1762,43.2,1,0,3.3,0,0,0,0,0,0,0,1,0.261113,253,0,0,0,0,R000580,Peter Roskam,0,0,0,0,0,1,1,1,1,0,1961,IL-06,0,M,0,0,0,53.1762,53.1762,,0,50.2,Sparse suburban,Suburban,50.65,49.35,20.55,41.5,2.4,10,10.1,0.1,135030,47166,101493,39556,0.429,0.018,0.467945,-53,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,53.1762,6,43.2,1,0,82.3,3.3,0,0,1,0,0,0,0,0,0,0,2,1,2,62,115,-69,-121,-69,1,2,0,0,0,0,104.9,0,0,0,0,0,0
Ted Yoho,0,74.7,0,1.02388,1.05859,1.07508,383,380,376,Y000065,Republican,430,401,391,29,39,0,0,1,0,4,57.6242,56.2,0,0,3,1,0,0,0,0,0,0,0,0.35488,369,0,0,0,0,Y000065,Ted Yoho,0,1,0,0,0,0,1,0,1,1,1955,FL-03,0,M,0,0,0,57.0643,0,57.6242,57.6242,40.2,Pure rural,Rural,50.54,49.46,0.86,37.9,16.4,3.3,11.4,0.3,75331,-16993,56005,-9707,0.706,-0.362,0.468024,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,57.6242,4,56.2,0,0,74.7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,-29,-39,3,7,3,0,0,0,0,0,0,106.1,0,0,0,0,0,0
Doug Lamborn,0,80.8,0,1.07805,1.65769,1.07846,424,447,377,L000564,Republican,474,479,392,-5,82,0,1,1,0,7,57.0292,57.2,1,0,3.3,0,0,0,0,0,0,0,0,0.52399,451,1,0,0,0,L000564,Doug Lamborn,0,1,0,0,0,0,1,0,1,1,1954,CO-05,0,M,0,0,0,59.8049,0,57.0292,57.0292,33.2,Dense suburban,Suburban,48.82,51.18,0.45,36.3,6,2.6,16.7,1,91125,-1199,71244,5532,0.68,0.195,0.469197,87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0292,7,57.2,1,0,80.8,3.3,0,0,0,1,0,0,0,0,0,0,1,0,-1,5,-82,-23,47,-23,0,-1,0,0,0,0,107.1,0,0,0,0,0,0
Kristi Noem,0,84,0,0.878405,0.635439,1.08025,302,303,378,N000184,Republican,339,313,393,26,-54,0,-1,1,1,4,62.3166,61.5,0,0,3,0,0,0,0,1,0,0,1,0.235436,278,0,0,0,0,N000184,Kristi Noem,0,1,0,0,0,0,1,1,1,0,1971,SD-AL,0,F,0,0,0,62.3166,62.3166,,0,31.7,Pure rural,Rural,49.53,50.47,20.7,37.2,2.2,1.7,3.9,8.8,74046,-13818,56274,-5663,0.398,0.326,0.469816,-80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,62.3166,4,61.5,0,0,84,3,0,0,1,1,0,0,0,0,1,0,1,0,1,-26,54,-1,-76,-1,0,1,0,0,0,0,100.6,0,0,0,0,0,0
Brian Babin,0,82.4,0,1.07046,1.2701,1.08135,417,418,379,B001291,Republican,467,444,394,23,73,0,1,1,0,3,72.5585,72,0,0,3.8,0,0,0,0,0,0,0,0,0.414584,421,0,0,0,0,B001291,Brian Babin,0,1,0,0,0,1,0,0,1,1,1948,TX-36,0,M,0,0,0,80.5235,0,72.5585,72.5585,25.2,Rural-suburban mix,Rural,50.11,49.89,0.72,37,9,1.8,28.5,0.5,81916,-10408,62206,-3506,0.685,0.17,0.470195,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,72.5585,3,72,0,0,82.4,3.8,0,0,0,1,0,0,0,0,0,0,1,0,-1,-23,-73,-1,38,-1,0,0,0,0,0,0,122.2,0,0,0,0,0,0
Robert B. Aderholt,0,86.8,0,0.965624,0.71654,1.08294,339,322,380,A000055,Republican,382,336,395,46,-13,1,0,1,0,12,79.7748,80.4,0,0,2.4,0,0,0,0,0,0,0,1,0.258328,300,0,0,0,0,A000055,Robert B. Aderholt,0,1,0,0,0,0,0,0,1,1,1965,AL-04,0,M,0,0,0,89.3215,0,79.7748,79.7748,17.4,Pure rural,Rural,51.08,48.92,0.62,41.1,7.4,0.5,6.9,0.5,63030,-29294,47531,-18181,0.366,0.594,0.470748,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.7748,12,80.4,0,0,86.8,2.4,0,0,1,1,0,0,0,0,0,0,0,-1,0,-46,13,17,-41,17,0,0,0,0,0,0,102.1,0,0,0,0,0,0
Marsha Blackburn,0,83.5,0,0.871096,1.45217,1.08992,299,435,381,B001243,Republican,334,465,396,-131,-62,-2,-1,1,1,8,69.6522,67.5,0,0,5.3,0,0,0,0,0,0,0,1,0.465976,318,1,0,1,1,B001243,Marsha Blackburn,0,1,0,0,0,0,1,0,1,0,1952,TN-07,0,F,0,0,0,69.6522,69.6522,,0,28.2,Pure rural,Rural,50.58,49.42,18.44,37.9,10.4,2.1,5.2,0.5,85274,-2590,58614,-3323,0.617,0.133,0.473164,69,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.6522,8,67.5,0,0,83.5,5.3,0,0,1,1,0,0,0,0,0,0,1,2,1,131,62,-136,-82,-136,3,1,0,0,0,0,101.7,0,0,0,0,0,0
Fred Upton,0,84.8,0,0.629677,0.687483,1.0923,246,314,382,U000031,Republican,263,326,397,-63,-134,-1,-3,1,0,17,50.2443,51.3,0,0,2.7,0,0,0,0,0,0,0,1,0.250126,246,0,0,0,0,U000031,Fred Upton,1,0,0,0,0,0,1,0,1,1,1953,MI-06,0,M,0,0,0,54.6859,0,50.2443,50.2443,42.9,Rural-suburban mix,Rural,50.77,49.23,0.39,39.1,8.5,1.5,6.5,0.4,75659,-16665,56520,-9192,0.336,-0.385,0.473989,-71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.2443,17,51.3,0,0,84.8,2.7,1,0,1,0,0,0,0,0,0,0,3,1,3,63,134,-68,-136,-68,1,3,0,0,0,0,101.7,0,0,0,0,0,0
Kenny Marchant,0,62.2,0,1.01079,1.82346,1.09998,367,450,383,M001158,Republican,412,482,398,-70,14,-1,0,1,0,8,50.6104,50.7,1,0,2.4,0,0,0,0,1,0,1,1,0.570781,394,0,0,0,0,M001158,Kenny Marchant,0,1,0,0,0,0,1,1,1,1,1951,TX-24,0,M,0,0,0,53.4571,0,50.6104,50.6104,44.5,Dense suburban,Suburban,49.95,50.05,1.1,35.6,13.1,15.5,23.6,0.5,113847,21523,79667,13955,0.602,0.172,0.47665,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,50.6104,8,50.7,1,0,62.2,2.4,0,1,1,1,0,0,0,0,1,0,0,1,0,70,-14,-83,-16,-83,1,0,0,0,0,0,114.9,0,0,0,0,0,0
