name,nonwhite,district_percent_white,maj_min,standardized_vote_ideal_point,k_std_speech_ip,k_std_tweet_ip,feb_rank_vote,feb_rank_speech,feb_rank_tweet,bioguide_id,party,vote_ip_rank,kspeech_ip_rank,ktweet_ip_rank,k_vote_speech_gap,k_vote_tweet_gap,k_vote_speech_catgap,k_vote_tweet_catgap,gop,female,number_of_house_terms,rlvthouse,trump16,suburban,urban,district_unemployment_rate,allfreedom_v2,allprog_v2,allbluedog_v2,allnewdems_v2,allgoplead_v2,alldemlead_v2,allcmtechair_v2,alltopcmte_v2,tbip_floor_speeches,speech_ip_rank,allgoplead,alldemlead,allcmtechair,alltopcmte,var41,var42,allprobsolve_v2,allrsc_v2,allprog,allnewdems,allbluedog,allprobsolve,allrsc,allfreedom,present_cong115,present_cong116,born,district,dem,gender,black,hispanic,asianamer,house2016,house2016new,house2018,house2018new,clinton16,district_density,distict_density_sub,district_percent_female,district_percent_male,district_percent_senior,district_median_age,district_percent_black,district_percent_asian,district_percent_hispanic,district_percent_americanindian,district_mean_income,district_mean_minus_national_mea,district_median_income,district_median_minus_national_m,dwnominate_1,dwnominate_2,tbip_tweets,k_speech_tweet_gap,progressive_caucus_cong115,newdems_caucus_cong115,bluedog_caucus_cong115,problemsolvers_caucus_cong115,rsc_caucus_cong115,freedom_caucus_cong115,gop_leadership_cong115,dem_leadership_cong115,committeechair_cong115,topcommittee_cong115,progressive_caucus_cong116,newdems_caucus_cong116,bluedog_caucus_cong116,problemsolvers_caucus_cong116,rsc_caucus_cong116,freedom_caucus_cong116,gop_leadership_cong116,dem_leadership_cong116,committeechair_cong116,topcommittee_cong116,new116,rural,xgopfemale,xgopnonwhite,xgoprlvthouse,xgopterms,xgoptrump,xgopsuburban,xgopurban,xgoppercentwhite,xgopunemployment,xgopprobsolv,xgopcmtechair,xgoptopcmte,xgoprsc,xgopfreedom,xgopprog,xgopbluedog,xgopnewdems,xgopgoplead,xgopdemlead,k_vote_tweet_abscatgap,k_vote_speech_catgap_invert,k_vote_tweet_catgap_invert,k_vote_speech_gap_invert,k_vote_tweet_gap_invert,feb_gap_VS,feb_gap_VT,feb_gapcat_VS,feb_gapcat_VS_invert,feb_gapcat_VT_invert,minfemale,maj_black,maj_hispanic,maj_asian,demographic_sum,x_majmin_nonwhite,x_majblack_black,x_majhisp_hisp,x_female_majmin,x_female_majblack,x_female_majhisp
John Curtis (Utah),0,90.3,0,0.998526,0.663819,0.428372,355,309,243,C001114,Republican,399,321,252,78,147,1,3,1,0,2,67.549,47.2,1,0,2.4,0,0,0,0,0,0,0,0,0.243447,298,0,0,0,0,C001114,John Curtis (Utah),0,1,0,0,0,0,1,0,1,1,1960,UT-03,0,M,0,0,0,70.6489,0,67.549,67.549,23.3,Sparse suburban,Suburban,49.73,50.27,0.61,28.7,0.7,1.9,10.9,1.5,104957,12633,78931,13219,0.55,0.008,0.244042,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67.549,2,47.2,1,0,90.3,2.4,0,0,0,1,0,0,0,0,0,0,3,-1,-3,-78,-147,46,112,46,-1,-2,0,0,0,0,105.3,0,0,0,0,0,0
Anthony Gonzalez,1,92.7,0,0.858462,0.967714,0.437842,293,364,244,G000588,Republican,325,383,253,-58,72,-1,1,1,0,1,56.7312,56.2,1,0,2,0,0,0,0,0,0,0,0,0.329228,295,0,0,0,0,G000588,Anthony Gonzalez,0,0,0,0,0,0,0,0,0,1,1984,OH-16,0,M,0,1,0,,0,56.7312,56.7312,39.5,Sparse suburban,Suburban,50.86,49.14,0.73,43.5,1.9,2.5,2.6,0.1,89627,-2697,68534,2822,0.278,0.235,0.247322,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,56.7312,1,56.2,1,0,92.7,2,0,0,0,0,0,0,0,0,0,0,1,1,-1,58,-72,-71,49,-71,1,-1,0,0,0,0,99.8,0,0,0,0,0,0
James Baird,0,87,0,1.1895,1.23153,0.440901,435,415,245,B001307,Republican,487,439,254,48,233,1,5,1,0,1,64.06,64.3,0,0,2.1,0,0,0,0,0,0,0,0,0.403696,430,0,0,0,0,B001307,James Baird,0,1,0,0,0,0,1,0,0,1,1945,IN-04,0,M,0,0,0,,0,64.06,64.06,30.2,Rural-suburban mix,Rural,50.51,49.49,0.53,36.7,4.6,3.3,6.3,0.2,77949,-14375,60119,-5593,0.409,0.652,0.248382,185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,64.06,1,64.3,0,0,87,2.1,0,0,0,1,0,0,0,0,0,0,5,-1,-5,-48,-233,20,190,20,0,-4,0,0,0,0,101.4,0,0,0,0,0,0
Daniel Crenshaw,0,66.4,0,1.11473,0.674942,0.47333,429,311,246,C001120,Republican,480,323,255,157,225,3,5,1,0,1,52.8444,52.4,1,0,3.1,0,0,0,0,0,0,0,0,0.246586,319,0,0,0,0,C001120,Daniel Crenshaw,0,1,1,0,0,0,0,0,0,1,1984,TX-02,0,M,0,0,0,,0,52.8444,52.8444,43.1,Dense suburban,Suburban,49.61,50.39,1.3,35.9,11.9,8.3,31.6,0.5,114057,21733,80922,15210,0.379,0.381,0.259613,68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,52.8444,1,52.4,1,0,66.4,3.1,0,0,0,1,0,0,0,0,0,0,5,-3,-5,-157,-225,118,183,118,-2,-4,0,0,0,0,118.7,0,0,0,0,0,0
Dan Bishop,0,64.4,0,1.58365,0.580887,0.503662,452,292,247,B001311,Republican,506,302,256,204,250,4,5,1,0,1,49.2528,53.7,1,0,2.6,0,0,0,0,0,0,0,0,0.220037,302,0,0,0,0,B001311,Dan Bishop,0,0,1,0,0,0,0,0,0,1,1964,NC-09,0,M,0,0,0,,0,49.2528,49.2528,43.3,Sparse suburban,Suburban,51.27,48.73,0.78,39.6,19.6,2.9,7.6,7.6,100959,8635,66208,496,0.791,-0.267,0.270119,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,49.2528,1,53.7,1,0,64.4,2.6,0,0,0,0,0,0,0,0,0,0,5,-4,-5,-204,-250,160,205,160,-3,-4,0,0,0,0,102.1,0,0,0,0,0,0
Scott Taylor (politician),0,66.1,0,0.822827,0.405983,0.504824,281,264,248,T000477,Republican,311,273,257,38,54,0,1,1,0,1,55.4711,48.8,1,0,4.6,0,0,0,0,0,0,0,1,0.170666,248,1,0,1,0,T000477,Scott Taylor (politician),0,1,0,0,0,0,1,0,1,0,1979,VA-02,0,M,0,0,0,55.4711,55.4711,,0,45.4,Dense suburban,Suburban,50.41,49.59,18.44,36.2,20.2,5.9,8.6,0.3,93247,5383,71088,9151,0.456,0.021,0.270521,16,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,55.4711,1,48.8,1,0,66.1,4.6,0,0,1,1,0,0,0,0,0,0,1,0,-1,-38,-54,17,33,17,0,0,0,0,0,0,101.1,0,0,0,0,0,0
Ronald Wright,0,64.1,0,1.37084,0.838735,0.529619,450,340,249,W000827,Republican,504,355,258,149,246,3,5,1,0,1,53.1011,54.2,1,0,3.2,1,0,0,0,0,0,0,0,0.292821,354,0,0,0,0,W000827,Ronald Wright,0,1,1,0,0,0,0,0,0,1,1953,TX-06,0,M,0,0,0,,0,53.1011,53.1011,41.9,Dense suburban,Suburban,50.75,49.25,0.94,35.2,21.1,4.8,25.4,0.3,89634,-2690,71161,5449,0.747,0.021,0.279108,97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,53.1011,1,54.2,1,0,64.1,3.2,0,0,0,1,1,0,0,0,0,0,5,-3,-5,-149,-246,110,201,110,-2,-4,0,0,0,0,115.7,0,0,0,0,0,0
Michael Guest,0,60.5,0,1.20169,1.63731,0.531625,438,445,250,G000591,Republican,490,477,259,13,231,0,5,1,0,1,62.3016,61.3,0,0,2.9,0,0,0,0,0,0,0,0,0.518236,463,0,0,0,0,G000591,Michael Guest,0,0,0,0,0,0,1,1,0,1,1970,MS-03,0,M,0,0,0,,0,62.3016,62.3016,36.8,Pure rural,Rural,51.02,48.98,0.94,38.4,35.4,1.2,2.4,1,69327,-22997,49863,-15849,0.47,0.25,0.279803,218,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,62.3016,1,61.3,0,0,60.5,2.9,0,0,0,0,0,0,0,0,0,0,5,0,-5,-13,-231,-7,188,-7,0,-4,0,0,0,0,100.5,0,0,0,0,0,0
John Rutherford (Florida),0,79.5,0,0.896666,0.964502,0.539215,306,362,251,R000609,Republican,347,381,260,-34,87,0,1,1,0,2,65.1595,62.1,1,0,2.8,0,0,0,0,0,0,0,1,0.328321,305,0,0,0,1,R000609,John Rutherford (Florida),0,0,1,0,0,0,0,0,1,1,1952,FL-04,0,M,0,0,0,67.761,0,65.1595,65.1595,34.1,Sparse suburban,Suburban,50.63,49.37,0.78,39.3,9.9,4.6,8.7,0.4,104651,12327,77026,11314,0.397,0.159,0.282432,121,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,65.1595,2,62.1,1,0,79.5,2.8,0,0,1,0,0,0,0,0,0,0,1,0,-1,34,-87,-56,55,-56,1,-1,0,0,0,0,103.1,0,0,0,0,0,0
Brian Mast,0,79.6,0,0.821667,0.63392,0.546369,280,302,252,M001199,Republican,310,312,261,-2,49,0,1,1,0,2,54.3012,53.3,1,0,2.5,0,0,0,0,0,0,0,0,0.235007,265,0,0,0,0,M001199,Brian Mast,0,0,0,0,1,1,0,0,1,1,1980,FL-18,0,M,0,0,0,53.9337,0,54.3012,54.3012,44.1,Sparse suburban,Suburban,51.12,48.88,0.9,48.1,12.8,2.3,17.5,0.3,100726,8402,68744,3032,0.403,-0.264,0.28491,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,54.3012,2,53.3,1,0,79.6,2.5,0,0,0,0,0,0,0,0,0,0,1,0,-1,2,-49,-22,28,-22,0,0,0,0,0,0,112.5,0,0,0,0,0,0
Gregory Murphy,0,73.2,0,1.43408,1.17084,0.566738,451,395,253,M001210,Republican,505,417,262,88,243,1,5,1,0,1,100,61,0,0,3,1,0,0,0,0,0,0,0,0.386566,416,0,0,0,0,M001210,Gregory Murphy,0,0,0,1,0,0,0,0,0,1,1963,NC-03,0,M,0,0,0,,0,100,100,36.5,Pure rural,Rural,48.74,51.26,0.65,37.9,19.8,1.4,8.4,0.4,71229,-21095,53545,-12167,0.694,0.415,0.291964,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,100,1,61,0,0,73.2,3,0,0,0,0,1,0,0,0,0,0,5,-1,-5,-88,-243,56,198,56,-1,-4,0,0,0,0,103.2,0,0,0,0,0,0
Greg Gianforte,0,88,0,0.965232,1.55535,0.575759,338,441,254,G000584,Republican,381,473,263,-92,118,-2,2,1,0,2,50.8823,56.5,0,0,2.5,0,0,0,0,0,0,0,1,0.495101,361,0,1,0,0,G000584,Greg Gianforte,0,1,0,0,0,0,0,0,1,1,1961,MT-AL,0,M,0,0,0,53.5459,0,50.8823,50.8823,35.9,Pure rural,Rural,49.64,50.36,0.31,40.5,0.7,0.8,3.8,6.3,77320,-15004,57153,-8559,0.423,0.099,0.295089,210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50.8823,2,56.5,0,0,88,2.5,0,0,1,1,0,0,0,0,0,0,2,2,-2,92,-118,-103,84,-103,2,-1,0,0,0,0,99.6,0,0,0,0,0,0
Keith Rothfus,0,93.7,0,0.859768,1.03398,0.575955,294,375,255,R000598,Republican,326,396,264,-70,62,-1,1,1,0,3,63.4908,66.1,0,0,4.1,0,0,0,0,0,0,0,0,0.347933,299,0,0,0,0,R000598,Keith Rothfus,0,1,0,0,0,0,1,0,1,0,1962,PA-12,0,M,0,0,0,63.4908,63.4908,,0,29.7,Pure rural,Rural,50.11,49.89,23.44,40.9,2.1,2,2.5,0.2,67992,-19872,53244,-8693,0.498,0.044,0.295156,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,63.4908,3,66.1,0,0,93.7,4.1,0,0,0,1,0,0,0,0,0,0,1,1,-1,70,-62,-81,39,-81,1,0,0,0,0,0,100.5,0,0,0,0,0,0
Kelly Armstrong,0,85.8,0,1.11222,-0.101262,0.578798,428,213,256,A000377,Republican,479,219,265,260,214,5,4,1,0,1,60.2018,64.1,0,0,1.8,0,0,0,0,0,0,0,0,0.027485,219,0,0,0,0,A000377,Kelly Armstrong,0,1,1,0,0,0,0,0,0,1,1976,ND-AL,0,M,0,0,0,,0,60.2018,60.2018,27.7,Rural-suburban mix,Rural,49.07,50.93,0.33,35.5,2.9,1.4,4,5.4,85551,-6773,64577,-1135,0.429,0.128,0.296141,-46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,60.2018,1,64.1,0,0,85.8,1.8,0,0,0,1,0,0,0,0,0,0,4,-5,-4,-260,-214,215,172,215,-4,-3,0,0,0,0,99.5,0,0,0,0,0,0
