name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Ted Poe,0.896999,0.754816,0.895607,P000592,Republican,0.269133,0.405866
Martha McSally,0.773875,0.872202,0.898333,M001197,Republican,0.302268,0.40681
Pete Stauber,0.820038,1.21295,0.899318,S001212,Republican,0.398451,0.407151
Neal Dunn,1.00215,1.41985,0.903766,D000628,Republican,0.456855,0.408691
Scott Perry,1.02345,0.439386,0.905816,P000605,Republican,0.180095,0.409401
Andrew Harris,1.04469,0.497294,0.911975,H001052,Republican,0.196441,0.411535
Ross Spano,1.13872,1.17689,0.91444,S001210,Republican,0.388274,0.412388
David Joyce,0.752753,0.415843,0.917449,J000295,Republican,0.17345,0.41343
Steve King,0.971778,0.602082,0.92176,K000362,Republican,0.22602,0.414923
Ken Buck,1.03735,0.797034,0.921835,B001297,Republican,0.28105,0.414949
Pete Olson,1.00926,1.10913,0.923476,O000168,Republican,0.369145,0.415518
John Rose (Tennessee),1.33149,1.43164,0.928633,R000612,Republican,0.46018,0.417304
Virginia Foxx,1.0133,0.737427,0.929354,F000450,Republican,0.264224,0.417553
Don Young,0.812098,0.529868,0.932305,Y000033,Republican,0.205636,0.418575
Larry Bucshon,0.991648,1.41875,0.933377,B001275,Republican,0.456543,0.418947
Tom Reed (New York),0.692261,0.889921,0.936717,R000585,Republican,0.307269,0.420104
Lou Barletta,0.755637,0.827723,0.936793,B001269,Republican,0.289712,0.42013
Ron Estes (U.S. House representative),1.06015,1.21649,0.937553,E000298,Republican,0.39945,0.420393
Rick Crawford,1.00316,1.05166,0.943108,C001087,Republican,0.352925,0.422317
Andy Biggs,1.05967,0.686241,0.947303,B001302,Republican,0.249776,0.42377
Jeff Fortenberry,0.692478,-0.003065,0.956746,F000449,Republican,0.055203,0.42704
Ann Wagner,0.945749,0.661455,0.956987,W000812,Republican,0.242779,0.427124
Michael R. Turner,0.820725,0.357834,0.958592,T000463,Republican,0.157075,0.42768
Barry Loudermilk,0.989907,0.828205,0.960599,L000583,Republican,0.289848,0.428375
Tom Emmer,0.951886,1.55713,0.961585,E000294,Republican,0.495605,0.428716
Steve Stivers,0.841519,0.610962,0.961732,S001187,Republican,0.228526,0.428767
Jim Banks,1.02662,1.71823,0.964753,B001299,Republican,0.541077,0.429814
Phil Roe,1.01462,0.987212,0.970026,R000582,Republican,0.334732,0.43164
Daniel Donovan (New York),0.599758,0.840584,0.973322,D000625,Republican,0.293342,0.432781
Alexander Mooney,0.997934,0.910903,0.974152,M001195,Republican,0.313192,0.433069
Ted Budd,1.06961,1.17603,0.975393,B001305,Republican,0.388029,0.433499
Ken Calvert,0.904509,0.192191,0.975561,C000059,Republican,0.110319,0.433557
David Rouzer,1.03845,1.27688,0.975811,R000603,Republican,0.416497,0.433644
John Carter,0.955538,0.185541,0.976884,C001051,Republican,0.108442,0.434015
Randy Weber,1.06902,1.37508,0.988192,W000814,Republican,0.444216,0.437932
Robert J. Wittman,1.03053,0.698488,0.991325,W000804,Republican,0.253233,0.439017
David Kustoff,1.02414,1.4728,0.992835,K000392,Republican,0.4718,0.43954
