Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
S001181,Jeanne Shaheen,F,Democrat,1947,2,-0.227853075,-0.736599841
S001184,Tim Scott,M,Republican,1965,3,0.043073028326034546,0.2680734429062419
S001191,Kyrsten Sinema,F,Democrat,1976,0,-0.127791926,-0.365543817
S001194,Brian E. Schatz,M,Democrat,1972,3,-0.372106999,-1.271535613
S001197,Ben Sasse,M,Republican,1972,2,0.2343454509973526,0.9773675675555898
S001198,Daniel S. Sullivan,M,Republican,1964,1,0.22978360950946808,0.9604509241641986
S001203,Tina Smith,F,Democrat,1958,2,-0.519245327,-1.817167596
S001217,Rick Scott,M,Republican,1952,0,0.30202487111091614,1.2283426656684866
T000250,John Thune,M,Republican,1961,3,0.3680785000324249,1.4732888542066211
T000278,Tommy Tuberville,M,Republican,1954,0,0.24790038168430328,1.0276332177837186
T000461,Pat Toomey,M,Republican,1961,2,0.21807970106601715,0.9170494061699455
T000464,Jon Tester,M,Democrat,1956,2,-0.120027654,-0.336751623
T000476,Thom Tillis (North Carolina),M,Republican,1960,1,0.11094796657562256,0.5197735794915319
V000128,Chris Van Hollen,M,Democrat,1959,1,-0.182608098,-0.568818225
W000437,Roger Wicker,M,Republican,1951,2,0.16459940373897552,0.7187288111317613
W000779,Ron Wyden,M,Democrat,1949,5,-0.247649282,-0.810009973
W000790,Raphael Warnock,M,Democrat,1969,1,-0.247212797,-0.808391359
W000802,Sheldon Whitehouse,M,Democrat,1955,2,-0.250396341,-0.820196871
W000805,Mark Warner,M,Democrat,1954,2,-0.161578313,-0.490833626
W000817,Elizabeth Warren,F,Democrat,1949,1,-0.039988358,-0.039942486
Y000064,Todd Young,M,Republican,1972,1,0.22814324498176575,0.9543679723955486
