Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
C001110,Lou Correa,M,Democrat,1958,3,CA-46,-0.011029797,-0.078610524
C001112,Salud Carbajal,M,Democrat,1964,3,CA-24,-0.247951463,-0.830889869
C001114,John Curtis (Utah),M,Republican,1960,3,UT-03,0.13906291127204895,0.3979674355254759
C001115,Michael Cloud (Texas),M,Republican,1975,3,TX-27,0.3693043291568756,1.1290354969510303
C001116,Andrew Clyde,M,Republican,1963,1,GA-09,0.5267298221588135,1.6288966906718736
C001117,Sean Casten,M,Democrat,1971,2,IL-06,-0.141884953,-0.494104948
C001118,Ben Cline,M,Republican,1972,2,VA-06,0.5062517523765564,1.5638742333095723
C001119,Angie Craig,F,Democrat,1972,2,MN-02,-0.263618886,-0.880637448
C001120,Daniel Crenshaw,M,Republican,1984,2,TX-02,0.41427886486053467,1.2718397192861954
C001121,Jason Crow,M,Democrat,1979,2,CO-06,-0.199134111,-0.675883846
C001125,Troy Carter,M,Democrat,1963,1,LA-02,-0.294599354,-0.979007371
C001127,Sheila Cherfilus-McCormick,F,Democrat,1979,1,FL-20,-0.318639606,-1.055340554
D000032,Byron Donalds,M,Republican,1978,1,FL-19,0.2919445335865021,0.8834008222714264
D000096,Danny K. Davis,M,Democrat,1941,13,IL-07,-0.355187744,-1.171389076
D000191,Peter DeFazio,M,Democrat,1947,18,OR-04,-0.299650252,-0.995045102
D000197,Diana DeGette,F,Democrat,1957,13,CO-01,-0.20423606,-0.692083677
D000216,Rosa DeLauro,F,Democrat,1943,16,CT-03,-0.422130436,-1.383947113
D000399,Lloyd Doggett,M,Democrat,1946,14,TX-35,-0.188702241,-0.64276032
D000482,Michael F. Doyle,M,Democrat,1953,14,PA-18,-0.019033276,-0.104023361
D000600,Mario Diaz-Balart,M,Republican,1961,10,FL-25,0.071580492,0.18369564237916705
D000610,Theodore E. Deutch,M,Democrat,1966,7,FL-22,-0.185412914,-0.632315971
D000615,Jeff Duncan,M,Republican,1966,6,SC-03,0.3957686722278595,1.2130657125549102
D000617,Suzan DelBene,F,Democrat,1962,6,WA-01,-0.348346323,-1.149666032
D000619,Rodney Davis (Illinois),M,Republican,1970,5,IL-13,0.18872125446796417,0.5556437955277529
D000623,Mark DeSaulnier,M,Democrat,1952,4,CA-11,-0.142679587,-0.496628089
D000624,Debbie Dingell,F,Democrat,1953,4,MI-12,-0.318839848,-1.055976367
D000626,Warren Davidson,M,Republican,1970,4,OH-08,0.2582623362541199,0.7764523030408191
D000627,Val Demings,F,Democrat,1957,3,FL-10,-0.190963566,-0.649940536
D000629,Sharice Davids,F,Democrat,1980,2,KS-03,-0.224762902,-0.757260995
D000631,Madeleine Dean,F,Democrat,1959,2,PA-04,-0.25228405,-0.844646804
E000071,Jake Ellzey,M,Republican,1970,1,TX-06,0.10167655348777771,0.2792573773604346
E000215,Anna Eshoo,F,Democrat,1942,15,CA-18,-0.298102736,-0.990131394
E000294,Tom Emmer,M,Republican,1961,4,MN-06,0.2311868518590927,0.6904815768757645
E000296,Dwight Evans,M,Democrat,1954,4,PA-03,-0.379162103,-1.247513035
E000297,Adriano Espaillat,M,Democrat,1954,3,NY-13,-0.240480989,-0.807169443
E000298,Ron Estes (U.S. House representative),M,Republican,1956,3,KS-04,0.40322980284690857,1.2367564730958291
E000299,Veronica Escobar,F,Democrat,1969,2,TX-16,-0.337909311,-1.116526182
F000246,Pat Fallon,M,Republican,1967,1,TX-04,0.13994093239307404,0.4007553492064088
F000446,Randy Feenstra,M,Republican,1969,1,IA-04,0.1715925633907318,0.5012563656047255
F000449,Jeff Fortenberry,M,Republican,1960,9,NE-01,0.11626704782247543,0.32558546422899165
F000450,Virginia Foxx,F,Republican,1943,9,NC-05,0.2897584140300751,0.876459403
F000454,Bill Foster,M,Democrat,1955,7,IL-11,-0.215858608,-0.72898787
F000459,Charles Fleischmann,M,Republican,1962,6,TN-03,0.194068044,0.5726210509840485
F000462,Lois Frankel,F,Democrat,1948,5,FL-21,-0.327530205,-1.083570197
F000465,Drew Ferguson,M,Republican,1966,3,GA-03,0.2650318741798401,0.7979471019070191
F000466,Brian Fitzpatrick,M,Republican,1973,3,PA-01,0.14775985479354858,0.4255821787762787
F000468,Lizzie Pannill Fletcher,F,Democrat,1975,2,TX-07,-0.31754443,-1.051863126
F000469,Russ Fulcher,M,Republican,1973,2,ID-01,0.3608930706977844,1.1023278677489157
F000470,Michelle Fischbach,F,Republican,1965,1,MN-07,0.4060501456260681,1.2457116929996048
F000471,Scott Fitzgerald (politician),M,Republican,1963,1,WI-05,0.3507148325443268,1.0700096823245275
F000472,Scott Franklin,M,Republican,1964,1,FL-15,0.44530805945396423,1.3703643607143603
G000061,Mike Garcia,M,Republican,1976,2,CA-25,0.3242664635181427,0.9860301878900714
G000377,Kay Granger,F,Republican,1943,13,TX-12,0.25857484340667725,0.7774445832321965
G000546,Sam Graves,M,Republican,1963,11,MO-06,0.039677963,0.082397968
G000551,Raul Grijalva,M,Democrat,1948,10,AZ-03,-0.441871464,-1.4466293
G000552,Louie Gohmert,M,Republican,1953,9,TX-01,0.31063541769981384,0.9427485649172946
G000553,Al Green,M,Democrat,1947,9,TX-09,-0.099505745,-0.359541472
G000558,Brett Guthrie,M,Republican,1964,7,KY-02,0.004892991,-0.028052107
G000559,John Garamendi,M,Democrat,1945,7,CA-03,-0.053477198,-0.213390528
G000565,Paul Gosar,M,Republican,1958,6,AZ-04,0.3760157525539398,1.150345769174737
G000568,Morgan Griffith,M,Republican,1958,6,VA-09,0.17855234444141388,0.523355229
G000574,Ruben Gallego,M,Democrat,1979,4,AZ-07,-0.296729863,-0.985772212
G000576,Glenn Grothman,M,Republican,1955,4,WI-06,0.5491489171981812,1.7000823378934542
G000577,Garret Graves,M,Republican,1972,4,LA-06,0.1402691900730133,0.4017976408493542
G000578,Matt Gaetz,M,Republican,1982,3,FL-01,0.34431472420692444,1.049687905130301
