Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000055,Robert B. Aderholt,M,Republican,1965,10,AL-04,0.232074454,0.644853234
A000369,Mark Amodei,M,Republican,1958,3,NV-02,0.057936788,-0.009784814
A000370,Alma Adams,F,Democrat,1946,2,NC-12,-0.397857666,-1.723258972
A000371,Pete Aguilar,M,Democrat,1979,1,CA-31,-0.360410124,-1.58248198
A000372,Rick Allen,M,Republican,1951,1,GA-12,0.468622476,1.534111381
A000373,Brad Ashford,M,Democrat,1949,1,NE-02,0.006798765,-0.202028677
A000374,Ralph Abraham,M,Republican,1954,1,LA-05,0.488792658,1.609937429
B000213,Joe Barton,M,Republican,1949,16,TX-06,0.169810802,0.410784692
B000287,Xavier Becerra,M,Democrat,1958,13,CA-34,-0.31835106,-1.424368739
B000490,Sanford Bishop Jr.,M,Democrat,1947,12,GA-02,0.008492461,-0.19566153
B000574,Earl Blumenauer,M,Democrat,1948,11,OR-03,-0.274116993,-1.258079052
B000589,John Boehner,M,Republican,1949,13,OH-08,0.361334324,1.130781651
B000755,Kevin Brady (Texas),M,Republican,1955,10,TX-08,0.18839924,0.480664432
B000911,Corrine Brown,F,Democrat,1946,12,FL-05,0.090503268,0.112642795
B001243,Marsha Blackburn,F,Republican,1952,7,TN-07,0.226010889,0.622058392
B001245,Madeleine Bordallo,F,Democrat,1933,7,GU-AL,-0.068603702,-0.485490173
B001248,Michael C. Burgess,M,Republican,1950,7,TX-26,0.176916644,0.437497765
B001250,Rob Bishop,M,Republican,1951,7,UT-01,0.280474991,0.826806068
B001251,G.K. Butterfield,M,Democrat,1947,7,NC-01,-0.295033336,-1.336710095
B001255,Charles Boustany Jr.,M,Republican,1956,6,LA-03,0.221082076,0.603529453
B001257,Gus M. Bilirakis,M,Republican,1963,5,FL-12,0.25551796,0.732984722
B001260,Vern Buchanan,M,Republican,1951,5,FL-16,0.161956429,0.381257623
B001269,Lou Barletta,M,Republican,1956,3,PA-11,0.285526931,0.845797896
B001270,Karen Bass,F,Democrat,1953,3,CA-37,-0.106152013,-0.626646042
B001271,Dan Benishek,M,Republican,1952,3,MI-01,0.418021649,1.343887091
B001273,Diane Black,F,Republican,1951,3,TN-06,0.284596711,0.842300892
B001274,Mo Brooks,M,Republican,1954,3,AL-05,0.138268963,0.292209029
B001275,Larry Bucshon,M,Republican,1962,3,IN-08,0.239517972,0.672835767
B001278,Suzanne Bonamici,F,Democrat,1954,3,OR-01,-0.234955043,-1.11085701
B001281,Joyce Beatty,F,Democrat,1950,2,OH-03,-0.35012725,-1.543825388
B001282,Andy Barr,M,Republican,1973,2,KY-06,0.327686161,1.004287601
B001283,Jim Bridenstine,M,Republican,1975,2,OK-01,0.299577802,0.898619473
B001284,Susan Brooks,F,Republican,1960,2,IN-05,0.226876453,0.625312328
B001285,Julia Brownley,F,Democrat,1952,2,CA-26,-0.094340488,-0.582242787
B001286,Cheri Bustos,F,Democrat,1961,2,IL-17,-0.005757073,-0.249229997
B001287,Ami Bera,M,Democrat,1965,2,CA-07,-0.017276714,-0.292535931
B001289,Bradley Byrne,M,Republican,1955,2,AL-01,0.115001269,0.204738453
B001290,David Brat,M,Republican,1964,2,VA-07,0.27837795,0.818922639
B001291,Brian Babin,M,Republican,1948,1,TX-36,0.32537201,0.995588005
B001292,Don Beyer,M,Democrat,1950,1,VA-08,-0.079118766,-0.525019586
B001293,Mike Bishop (politician),M,Republican,1967,1,MI-08,0.209853366,0.561317205
B001294,Rod Blum,M,Republican,1955,1,IA-01,0.514400005,1.706203461
B001295,Mike Bost,M,Republican,1960,1,IL-12,0.399481863,1.274190187
B001296,Brendan Boyle,M,Democrat,1977,1,PA-13,-0.231158748,-1.096585512
B001297,Ken Buck,M,Republican,1959,1,CO-04,0.276743591,0.812778533
C000059,Ken Calvert,M,Republican,1953,12,CA-42,0.148614764,0.331102133
C000266,Steve Chabot,M,Republican,1953,10,OH-01,0.261629462,0.755959809
C000537,James E. Clyburn,M,Democrat,1940,12,SC-06,-0.293851584,-1.332267523
C000714,"John Conyers, Jr.",M,Democrat,1929,27,MI-13,-0.16236949,-0.837985158
C000754,Jim Cooper,M,Democrat,1954,13,TN-05,0.0021684,-0.219435647
C000984,Elijah Cummings,M,Democrat,1951,11,MD-07,-0.166144416,-0.852176249
C001036,Lois Capps,F,Democrat,1938,10,CA-24,-0.357660562,-1.572145462
C001037,Michael Capuano,M,Democrat,1952,9,MA-07,-0.220102057,-1.055019975
C001038,Joseph Crowley,M,Democrat,1962,9,NY-14,-0.346491665,-1.530158043
C001045,Ander Crenshaw,M,Republican,1944,8,FL-04,0.089620396,0.1093238
C001048,John Culberson,M,Republican,1956,8,TX-07,0.358567357,1.120379686
C001049,William Lacy Clay,M,Democrat,1956,8,MO-01,-0.100806937,-0.606552184
C001051,John Carter,M,Republican,1941,7,TX-31,0.192837447,0.497349054
C001053,Tom Cole,M,Republican,1949,7,OK-04,-0.211387724,-1.02226007
C001059,Jim Costa,M,Democrat,1952,6,CA-16,-0.081618302,-0.534416139
