Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
S000320,Richard Shelby,M,Democrat,1934,5,0.19640639424324036,0.8359115123748779
S000770,Debbie Stabenow,F,Democrat,1950,3,-0.26679495,-1.100925088
S001181,Jeanne Shaheen,F,Democrat,1947,2,-0.143678665,-0.586125016
S001184,Tim Scott,M,Republican,1965,2,0.091093585,0.3955550491809845
S001191,Kyrsten Sinema,F,Democrat,1976,0,-0.052020077,-0.202862456
S001194,Brian E. Schatz,M,Democrat,1972,2,-0.279640526,-1.154637814
S001197,Ben Sasse,M,Republican,1972,1,0.23904092609882355,1.0141841173171997
S001198,Daniel S. Sullivan,M,Republican,1964,1,0.17333576083183289,0.7394436597824097
S001203,Tina Smith,F,Democrat,1958,2,-0.265836805,-1.096918702
S001217,Rick Scott,M,Republican,1952,0,0.095446214,0.4137552082538605
T000250,John Thune,M,Republican,1961,2,0.43096688389778137,1.8167061805725098
T000461,Pat Toomey,M,Republican,1961,1,0.12247920781373978,0.5267913341522217
T000464,Jon Tester,M,Democrat,1956,2,-0.132881179,-0.540976226
T000476,Thom Tillis (North Carolina),M,Republican,1960,1,0.1908709704875946,0.8127655982971191
U000039,Tom Udall,M,Democrat,1948,2,-0.331816852,-1.372808695
V000128,Chris Van Hollen,M,Democrat,1959,0,-0.224106789,-0.92242831
W000437,Roger Wicker,M,Republican,1951,2,0.24106024205684662,1.0226277112960815
W000779,Ron Wyden,M,Democrat,1949,4,-0.243320256,-1.002767801
W000802,Sheldon Whitehouse,M,Democrat,1955,2,0.027944035828113556,0.13150061666965485
W000805,Mark Warner,M,Democrat,1954,2,-0.097422481,-0.392708719
W000817,Elizabeth Warren,F,Democrat,1949,1,-0.226150662,-0.930974603
Y000064,Todd Young,M,Republican,1972,0,0.28876155614852905,1.222086787223816
