Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
C001093,Doug Collins,M,Republican,1966,4,GA-09,0.18221725523471832,0.5777303576469421
C001097,Tony Cardenas,M,Democrat,1963,4,CA-29,-0.128601938,-0.551453292
C001101,Katherine Clark,F,Democrat,1963,4,MA-05,-0.397515535,-1.528396845
C001103,"Earl ""Buddy"" Carter",M,Republican,1957,3,GA-01,0.4918150007724762,1.7024766206741333
C001108,James Comer Jr.,M,Republican,1972,3,KY-01,0.42014598846435547,1.4421082735061646
C001109,Liz Cheney,F,Republican,1966,2,WY-AL,0.20280446112155914,0.6525222063064575
C001110,Lou Correa,M,Democrat,1958,2,CA-46,-0.019646075,-0.155624479
C001111,Charlie Crist,M,Democrat,1956,2,FL-13,-0.062961563,-0.312986523
C001112,Salud Carbajal,M,Democrat,1964,2,CA-24,-0.270128936,-1.065610528
C001114,John Curtis (Utah),M,Republican,1960,2,UT-03,0.085532315,0.22648099064826965
C001115,Michael Cloud (Texas),M,Republican,1975,2,TX-27,0.40489187836647034,1.3866912126541138
C001117,Sean Casten,M,Democrat,1971,1,IL-06,-0.186474815,-0.761701226
C001118,Ben Cline,M,Republican,1972,1,VA-06,0.3398025929927826,1.1502265930175781
C001119,Angie Craig,F,Democrat,1972,1,MN-02,-0.019669216,-0.155708551
C001120,Daniel Crenshaw,M,Republican,1984,1,TX-02,0.15968266129493713,0.49586382508277893
C001121,Jason Crow,M,Democrat,1979,1,CO-06,-0.006862237,-0.109181732
C001122,Joe Cunningham,M,Democrat,1982,1,SC-01,0.073099546,0.1813136488199234
C001123,Gil Cisneros,M,Democrat,1971,1,CA-39,-0.22987546,-0.919372678
C001124,TJ Cox,M,Democrat,1963,1,CA-21,0.069549069,0.16841502487659454
D000096,Danny K. Davis,M,Democrat,1941,12,IL-07,-0.106808618,-0.472279727
D000191,Peter DeFazio,M,Democrat,1947,17,OR-04,-0.159496978,-0.663692713
D000197,Diana DeGette,F,Democrat,1957,12,CO-01,-0.204688579,-0.827870548
D000216,Rosa DeLauro,F,Democrat,1943,15,CT-03,-0.325033903,-1.26507628
D000399,Lloyd Doggett,M,Democrat,1946,13,TX-35,-0.165868551,-0.686840177
D000482,Michael F. Doyle,M,Democrat,1953,13,PA-18,-0.160853297,-0.66862011
D000598,Susan Davis (politician),F,Democrat,1944,10,CA-53,-0.212169901,-0.85504961
D000600,Mario Diaz-Balart,M,Republican,1961,9,FL-25,-0.00582495,-0.10541334
D000610,Theodore E. Deutch,M,Democrat,1966,6,FL-22,-0.187185749,-0.764284015
D000615,Jeff Duncan,M,Republican,1966,5,SC-03,0.5180751085281372,1.7978776693344116
D000616,Scott DesJarlais,M,Republican,1964,5,TN-04,0.4336155354976654,1.4910422563552856
D000617,Suzan DelBene,F,Democrat,1962,5,WA-01,-0.32471022,-1.263900399
D000619,Rodney Davis (Illinois),M,Republican,1970,4,IL-13,0.3069904148578644,1.031022310256958
D000623,Mark DeSaulnier,M,Democrat,1952,3,CA-11,-0.116694719,-0.508195221
D000624,Debbie Dingell,F,Democrat,1953,3,MI-12,-0.258267194,-1.022517681
D000626,Warren Davidson,M,Republican,1970,3,OH-08,0.29390642046928406,0.9834890961647034
D000627,Val Demings,F,Democrat,1957,2,FL-10,-0.184167281,-0.753318131
D000628,Neal Dunn,M,Republican,1953,2,FL-02,0.5077232718467712,1.7602702379226685
D000629,Sharice Davids,F,Democrat,1980,1,KS-03,-0.155834988,-0.650388956
D000630,Antonio Delgado (New York),M,Democrat,1977,1,NY-19,-0.079915851,-0.374580234
D000631,Madeleine Dean,F,Democrat,1959,1,PA-04,-0.336170763,-1.305535793
