Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
M001176,Jeff Merkley,M,Democrat,1956,1,-0.207371488,-0.880869229
M001183,Joe Manchin III,M,Democrat,1947,2,-0.028910859,-0.256403449
N000032,Bill Nelson (Florida),M,Democrat,1942,3,-0.229319662,-0.957669829
P000449,Rob Portman,M,Republican,1955,1,0.283878118,0.838101331
P000595,Gary Peters,M,Democrat,1958,0,-0.221302241,-0.929615434
P000603,Rand Paul,M,Republican,1963,1,-0.207286686,-0.88057249
P000612,David Perdue,M,Republican,1949,0,0.27251187,0.798328788
R000122,Jack Reed,M,Democrat,1949,3,-0.13106595,-0.613862452
R000307,Pat Roberts,M,Republican,1936,3,0.363923728,1.118195292
R000584,Jim Risch,M,Republican,1943,1,0.223317772,0.626189809
R000595,Marco Rubio,M,Republican,1971,1,0.247162551,0.70962697
R000605,Mike Rounds,M,Republican,1954,0,0.341323376,1.0391126
S000033,Bernie Sanders,M,Independent,1941,2,-0.41855979,-1.619855008
S000148,Chuck Schumer,M,Democrat,1950,3,-0.331190199,-1.314133124
S000320,Richard Shelby,M,Democrat,1934,5,0.454621494,1.435563055
S000770,Debbie Stabenow,F,Democrat,1950,3,-0.161600113,-0.72070697
S001181,Jeanne Shaheen,F,Democrat,1947,1,-0.283588797,-1.147567274
S001184,Tim Scott,M,Republican,1965,2,0.346099466,1.055824998
S001194,Brian E. Schatz,M,Democrat,1972,2,-0.210180014,-0.890696766
S001197,Ben Sasse,M,Republican,1972,0,0.098951809,0.191010979
S001198,Daniel S. Sullivan,M,Republican,1964,0,0.290670097,0.861867685
S001203,Tina Smith,F,Democrat,1958,1,-0.167243361,-0.74045371
T000250,John Thune,M,Republican,1961,2,0.399560928,1.242896252
T000461,Pat Toomey,M,Republican,1961,1,0.146082819,0.355930842
T000464,Jon Tester,M,Democrat,1956,2,-0.012269934,-0.198173865
T000476,Thom Tillis (North Carolina),M,Republican,1960,0,0.333866477,1.013019573
U000039,Tom Udall,M,Democrat,1948,1,-0.178494647,-0.779823978
V000128,Chris Van Hollen,M,Democrat,1959,0,-0.191553071,-0.825517748
W000437,Roger Wicker,M,Republican,1951,2,0.341214418,1.038731339
W000779,Ron Wyden,M,Democrat,1949,4,-0.110441126,-0.541692491
W000802,Sheldon Whitehouse,M,Democrat,1955,2,-0.167148739,-0.740122609
W000805,Mark Warner,M,Democrat,1954,1,-0.036481939,-0.282896019
W000817,Elizabeth Warren,F,Democrat,1949,1,-0.298781306,-1.200728589
Y000064,Todd Young,M,Republican,1972,0,0.141116709,0.338553531
