Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
C001090,Matt Cartwright,M,Democrat,1961,6,PA-08,-0.369949311,-1.164315104
C001091,Joaquin Castro,M,Democrat,1974,6,TX-20,-0.403710753,-1.277495146
C001097,Tony Cardenas,M,Democrat,1963,6,CA-29,-0.369682193,-1.163419604
C001101,Katherine Clark,F,Democrat,1963,6,MA-05,-0.537523091,-1.726081014
C001103,"Earl ""Buddy"" Carter",M,Republican,1957,5,GA-01,0.3562416434288025,1.2701307535171509
C001108,James Comer Jr.,M,Republican,1972,5,KY-01,0.3801727890968323,1.3503562211990356
C001110,Lou Correa,M,Democrat,1958,4,CA-46,0.067534156,0.30228230357170105
C001112,Salud Carbajal,M,Democrat,1964,4,CA-24,-0.326982647,-1.020275831
C001114,John Curtis (Utah),M,Republican,1960,4,UT-03,0.22137175500392914,0.8179996609687805
C001115,Michael Cloud (Texas),M,Republican,1975,4,TX-27,0.2638086676597595,0.9602630734443665
C001116,Andrew Clyde,M,Republican,1963,2,GA-09,0.3102591335773468,1.1159812211990356
C001117,Sean Casten,M,Democrat,1971,3,IL-06,-0.160422355,-0.461907566
C001118,Ben Cline,M,Republican,1972,3,VA-06,0.29340770840644836,1.059489369392395
C001119,Angie Craig,F,Democrat,1972,3,MN-02,-0.328310877,-1.024728537
C001120,Daniel Crenshaw,M,Republican,1984,3,TX-02,0.17353828251361847,0.6576451659202576
C001121,Jason Crow,M,Democrat,1979,3,CO-06,-0.27959758,-0.861424506
C001125,Troy Carter,M,Democrat,1963,2,LA-02,-0.342728257,-1.073060632
C001126,Mike Carey (Ohio),M,Republican,1971,2,OH-15,0.18232013285160065,0.687084973
C001127,Sheila Cherfilus-McCormick,F,Democrat,1979,2,FL-20,-0.574184418,-1.848982573
C001129,Mike Collins (politician),M,Republican,1967,1,GA-10,0.34735995531082153,1.240356206893921
C001130,Jasmine Crockett,F,Democrat,1981,1,TX-30,-0.339814931,-1.063294053
C001131,Greg Casar,M,Democrat,1989,1,TX-35,-0.569923818,-1.834699512
C001132,Eli Crane,M,Republican,1980,1,AZ-02,0.25767672061920166,0.9397066235542297
C001133,Juan Ciscomani,M,Republican,1982,1,AZ-06,0.12824498116970062,0.5058062076568604
C001135,Lori Chavez-DeRemer,F,Republican,1968,1,OR-05,0.2763707637786865,1.002375602722168
D000032,Byron Donalds,M,Republican,1978,2,FL-19,0.2725783586502075,0.9896621704101562
D000096,Danny K. Davis,M,Democrat,1941,14,IL-07,-0.371122599,-1.168248296
D000197,Diana DeGette,F,Democrat,1957,14,CO-01,-0.256326973,-0.783413351
D000216,Rosa DeLauro,F,Democrat,1943,17,CT-03,-0.348889381,-1.093714833
D000230,Donald Davis,M,Democrat,1971,1,NC-01,-0.113539405,-0.304739535
D000399,Lloyd Doggett,M,Democrat,1946,15,TX-37,-0.360901177,-1.133982539
D000530,Chris Deluzio,M,Democrat,1984,1,PA-17,-0.185411587,-0.545680165
D000594,Monica De La Cruz,F,Republican,1974,1,TX-15,0.089535184,0.3760374188423157
D000600,Mario Diaz-Balart,M,Republican,1961,11,FL-26,0.12067723274230957,0.48043644428253174
D000615,Jeff Duncan,M,Republican,1966,7,SC-03,0.2824859321117401,1.0228757858276367
D000617,Suzan DelBene,F,Democrat,1962,7,WA-01,-0.338811189,-1.059929132
D000623,Mark DeSaulnier,M,Democrat,1952,5,CA-10,-0.23805356,-0.722154498
D000624,Debbie Dingell,F,Democrat,1953,5,MI-06,-0.199576095,-0.593164563
D000626,Warren Davidson,M,Republican,1970,5,OH-08,0.13646119832992554,0.5333498120307922
D000628,Neal Dunn,M,Republican,1953,4,FL-02,0.39676639437675476,1.405983805656433
D000631,Madeleine Dean,F,Democrat,1959,3,PA-04,-0.369054973,-1.161316872
D000632,Anthony D'Esposito,M,Republican,1982,1,NY-04,0.17541174590587616,0.6639256477355957
D000633,John Duarte,M,Republican,1966,1,CA-13,0.14368663728237152,0.5575720071792603
E000071,Jake Ellzey,M,Republican,1970,2,TX-06,0.1352936029434204,0.5294356346130371
E000215,Anna Eshoo,F,Democrat,1942,16,CA-16,-0.225987658,-0.681705356
E000235,Mike Ezell,M,Republican,1959,1,MS-04,0.3802681863307953,1.3506760597229004
E000246,Chuck Edwards,M,Republican,1960,1,NC-11,0.27388110756874084,0.9940294027328491
E000294,Tom Emmer,M,Republican,1961,5,MN-06,0.25124111771583557,0.9181322455406189
E000297,Adriano Espaillat,M,Democrat,1954,4,NY-13,-0.414984733,-1.315289497
E000298,Ron Estes (U.S. House representative),M,Republican,1956,4,KS-04,0.32667043805122375,1.1709977388381958
E000299,Veronica Escobar,F,Democrat,1969,3,TX-16,-0.400674731,-1.267317414
F000246,Pat Fallon,M,Republican,1967,2,TX-04,0.1465798169374466,0.5672709941864014
F000446,Randy Feenstra,M,Republican,1969,2,IA-04,0.3511669933795929,1.2531187534332275
F000450,Virginia Foxx,F,Republican,1943,10,NC-05,0.14203248918056488,0.5520267486572266
F000454,Bill Foster,M,Democrat,1955,8,IL-11,-0.175674394,-0.513037741
F000459,Charles Fleischmann,M,Republican,1962,7,TN-03,0.000684161,0.078177765
F000462,Lois Frankel,F,Democrat,1948,6,FL-22,-0.461312205,-1.47059536
