Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
B000944,Sherrod Brown,M,Democrat,1952,3,-0.178530365,-0.827683371
B001230,Tammy Baldwin,F,Democrat,1962,2,-0.159020007,-0.746790845
B001236,John Boozman,M,Republican,1950,2,0.18672481179237366,0.6867128786479191
B001243,Marsha Blackburn,F,Republican,1952,1,0.1935480386018753,0.7150028790180185
B001261,John Barrasso,M,Republican,1952,3,0.5104074478149414,2.0287438778405114
B001267,Michael Bennet,M,Democrat,1964,3,-0.117013209,-0.572625107
B001277,Richard Blumenthal,M,Democrat,1946,2,-0.145290494,-0.689866471
B001288,Cory Booker,M,Democrat,1969,2,-0.200867429,-0.920295792
B001305,Ted Budd,M,Republican,1971,0,0.26980718970298767,1.0311834008013037
B001310,Mike Braun,M,Republican,1954,1,0.2073032408952713,0.772033766
B001319,Katie Britt,F,Republican,1982,0,0.1539699286222458,0.5509068028898779
B001320,Laphonza Butler,F,Democrat,1979,1,-0.05527059,-0.316632048
C000127,Maria Cantwell,F,Democrat,1958,4,-0.109337159,-0.540799189
C000141,Ben Cardin,M,Democrat,1943,3,-0.481796771,-2.085065982
C000174,Tom Carper,M,Democrat,1947,4,-0.085689276,-0.442751944
C000880,Mike Crapo,M,Republican,1951,4,0.085762307,0.26810898692157675
C001035,Susan Collins,F,Republican,1952,4,-0.049308084,-0.29191071
C001047,Shelley Moore Capito,F,Republican,1953,1,0.2062731683254242,0.7677629490903563
C001056,John Cornyn,M,Republican,1952,4,0.17853248119354248,0.6527463929742826
C001070,"Bob Casey, Jr.",M,Democrat,1960,3,-0.103943273,-0.518435428
C001075,Bill Cassidy,M,Republican,1957,1,-0.003547529,-0.102181399
C001088,Chris Coons,M,Democrat,1963,2,-0.113273866,-0.557121301
C001095,Tom Cotton,M,Republican,1977,1,0.2518004775047302,0.9565251915734352
C001096,Kevin Cramer,M,Republican,1961,1,0.23619264364242554,0.8918130490536853
