Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
S001181,Jeanne Shaheen,F,Democrat,1947,1,-0.210663036,-0.895762205
S001184,Tim Scott,M,Republican,1965,2,-0.035352629,-0.203947872
S001194,Brian E. Schatz,M,Democrat,1972,2,-0.189114481,-0.810726762
S001197,Ben Sasse,M,Republican,1972,0,0.262578189,0.971754193
S001198,Daniel S. Sullivan,M,Republican,1964,0,0.347268969,1.305963039
T000250,John Thune,M,Republican,1961,2,0.396466941,1.500109315
T000461,Pat Toomey,M,Republican,1961,1,0.075153559,0.232134432
T000464,Jon Tester,M,Democrat,1956,1,-0.123254843,-0.550829768
T000476,Thom Tillis (North Carolina),M,Republican,1960,0,0.169905037,0.606045067
U000039,Tom Udall,M,Democrat,1948,1,-0.215090841,-0.913235307
V000127,David Vitter,M,Republican,1961,2,0.104982778,0.349847227
W000437,Roger Wicker,M,Republican,1951,1,0.288656175,1.074663758
W000779,Ron Wyden,M,Democrat,1949,4,-0.165400952,-0.717147827
W000802,Sheldon Whitehouse,M,Democrat,1955,1,-0.227517858,-0.962275147
W000805,Mark Warner,M,Democrat,1954,1,-0.00750709,-0.094063111
W000817,Elizabeth Warren,F,Democrat,1949,0,-0.381705523,-1.570734382
